mode,final_equity,total_return,sharpe,max_drawdown,ulcer_index,risk_rejects,stop_triggers,max_gross_exposure
baseline,14569923.09,0.456992,0.1224,-0.856556,69.9834,6243,0,60584209.12
managed,11588914.29,0.158891,-0.8854,-0.199118,14.5305,6712,125,4155732.99
